0,1
2.52985483767283e-05_2.40133179088775_9.90184177350877,-11257.95199760048
2.52985483767283e-05_2.40133179088775_9.90184177350877,-11259.597572485502
2.55597533805052e-05_2.6444441307501_9.83878250441418,-11258.131355728854
2.55597533805052e-05_2.6444441307501_9.83878250441418,-11259.223417316538
2.59362918123466e-06_2.81778257629719_9.92532478166171,-11258.32825034993
2.59362918123466e-06_2.81778257629719_9.92532478166171,-11259.167626474704
2.81667203200579e-10_2.86706190438415_9.94874070077644,-11259.862435512898
2.81667203200579e-10_2.86706190438415_9.94874070077644,-11257.775544891021
2.9452648136397e-05_2.57858220284227_9.97936913022915,-11259.064959008198
2.9452648136397e-05_2.57858220284227_9.97936913022915,-11258.439440111977
3.10454075414508e-05_2.91313020384171_9.95577111160831,-11260.159356128774
3.10454075414508e-05_2.91313020384171_9.95577111160831,-11259.2175084983
3.10665585357776e-05_2.48048238015743_9.89921360471745,-11257.788868226355
3.10665585357776e-05_2.48048238015743_9.89921360471745,-11260.111163767246
3.1675504908071e-05_2.47542209764208_9.86545867132647,-11258.595466906618
3.1675504908071e-05_2.47542209764208_9.86545867132647,-11259.231553689262
3.27599477873983e-05_2.421706756213_9.93195178474311,-11259.074941011799
3.27599477873983e-05_2.421706756213_9.93195178474311,-11258.79304339132
3.32689241759253e-05_2.70110362771076_9.99116384604543,-11259.732135572885
3.32689241759253e-05_2.70110362771076_9.99116384604543,-11258.49603279344
3.40963232782705e-09_2.42744039275693_9.96855590728944,-11257.956392721457
3.40963232782705e-09_2.42744039275693_9.96855590728944,-11258.849170165968
3.49703928713286e-05_2.69098214815965_9.97080232723648,-11259.300449910017
3.49703928713286e-05_2.69098214815965_9.97080232723648,-11259.106328734253
3.51679283239937e-07_2.54144637224147_9.93396706397426,-11259.563073385323
3.51679283239937e-07_2.54144637224147_9.93396706397426,-11259.37977404519
3.53778198198154e-05_2.48443575603005_9.83254893317261,-11258.429626074785
3.53778198198154e-05_2.48443575603005_9.83254893317261,-11259.150403919217
3.5602065760821e-05_2.39732905618632_9.88686789367794,-11259.542887422516
3.5602065760821e-05_2.39732905618632_9.88686789367794,-11257.271923615277
3.64264793305345e-05_1.96969267708826_9.84132345572648,-11259.255266946611
3.64264793305345e-05_1.96969267708826_9.84132345572648,-11259.746072785443
3.96203467298958e-05_2.25063643478608_9.93586002643455,-11258.89620075985
3.96203467298958e-05_2.25063643478608_9.93586002643455,-11259.509116176765
4.76454412182923e-05_2.43918087576406_9.84583222852552,-11259.96153569286
4.76454412182923e-05_2.43918087576406_9.84583222852552,-11259.566484703058
4.85003718159289e-05_2.8193049239203_9.90708084587831,-11259.677480503899
4.85003718159289e-05_2.8193049239203_9.90708084587831,-11259.07352929414
